corpus,drama,documentTitle,language,Name,Pnd,Translator.Name,Translator.Pnd,Date.Written,Date.Printed,Date.Premiere,Date.Translation
qd,11d11.0,Faust. Der Tragödie zweiter Teil,de,"Goethe, Johann Wolfgang",118540238,,,1831,1832,1854,0
qd,11d2m.0,Torquato Tasso,de,"Goethe, Johann Wolfgang",118540238,,,1788,1790,1807,0
qd,11f78.0,Iphigenie auf Tauris,de,"Goethe, Johann Wolfgang",118540238,,,1786,1787,1800,0
qd,11f81.0,Clavigo,de,"Goethe, Johann Wolfgang",118540238,,,1774,1774,1774,0
qd,11f9k.0,Der Bürgergeneral,de,"Goethe, Johann Wolfgang",118540238,,,1793,1793,1793,0
qd,11fzp.0,Die Laune des Verliebten,de,"Goethe, Johann Wolfgang",118540238,,,1768,1806,1779,0
qd,11g1d.0,Götz von Berlichingen mit der eisernen Hand,de,"Goethe, Johann Wolfgang",118540238,,,0,1773,0,0
qd,11g3h.0,Die natürliche Tochter,de,"Goethe, Johann Wolfgang",118540238,,,1803,1804,1803,0
qd,11g5f.0,Der Großkophta,de,"Goethe, Johann Wolfgang",118540238,,,1791,1792,1791,0
qd,11g5g.0,Des Epimenides Erwachen,de,"Goethe, Johann Wolfgang",118540238,,,0,0,0,0
qd,11g5q.0,Faust,de,"Goethe, Johann Wolfgang",118540238,,,1806,1808,1819,0
qd,11g9w.0,Egmont,de,"Goethe, Johann Wolfgang",118540238,,,1787,1788,1791,0
qd,11gn9.0,Satyros oder der vergötterte Waldteufel,de,"Goethe, Johann Wolfgang",118540238,,,0,0,0,0
qd,11gtp.0,Erwin und Elmire,de,"Goethe, Johann Wolfgang",118540238,,,1775,1775,1775,0
qd,11h10.0,Der Triumph der Empfindsamkeit,de,"Goethe, Johann Wolfgang",118540238,,,1779,0,0,0
qd,11h60.0,"Götter, Helden und Wieland",de,"Goethe, Johann Wolfgang",118540238,,,1773,1774,0,0
qd,11hb1.0,Die Mitschuldigen,de,"Goethe, Johann Wolfgang",118540238,,,1769,1909,1776,0
qd,11hb5.0,Proserpina,de,"Goethe, Johann Wolfgang",118540238,,,1778,1778,1778,0
qd,11hdv.0,Stella,de,"Goethe, Johann Wolfgang",118540238,,,1776,1776,1776,0
qd,12675.0,Die Nase des Michelangelo,de,"Ball, Hugo",118506234,,,0,0,0,0
qd,jkhx.0,Der gefesselte Prometheus,de,Aischylos,118500856,"Droysen, Johann Gustav",188028331,0,0,0,0
